Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
Pt1,,42°22'09.7246",21°08'17.6412",619.465,0.000,0.000,0.000,42°22'09.7246",21°08'17.6412",619.465,2.07,4692205.105,7511385.157,619.465,FLOAT,26,28,1.11,0.354,0.487,2,2024-11-07,09:17:27,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10917.841,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,1.454,-4.85,619.465,,,,311°10'31.228",0°02'41.6614"
Pt2,,42°22'09.7214",21°08'17.6411",619.683,0.000,0.000,0.000,42°22'09.7214",21°08'17.6411",619.683,2.07,4692205.006,7511385.154,619.683,FIXED,27,29,1.13,0.046,0.059,1,2024-11-07,09:19:29,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10917.904,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,1.473,-4.798,619.683,,,,311°10'32.4478",0°02'37.6282"
Pt3,,42°22'10.4844",21°08'16.8602",619.953,0.000,0.000,0.000,42°22'10.4844",21°08'16.8602",619.953,2.07,4692228.518,7511367.250,619.953,FIXED,28,30,0.98,0.014,0.015,1,2024-11-07,09:25:06,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10888.943,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.953,,,,311°08'40.4833",0°02'32.9273"
Pt4,,42°22'11.4133",21°08'17.5729",619.542,0.000,0.000,0.000,42°22'11.4133",21°08'17.5729",619.542,2.07,4692257.203,7511383.507,619.542,FIXED,28,29,0.97,0.013,0.014,1,2024-11-07,09:28:48,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10882.359,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.542,,,,310°58'28.1775",0°02'40.808"
Pt5,,42°22'13.9526",21°08'17.3092",619.891,0.000,0.000,0.000,42°22'13.9526",21°08'17.3092",619.891,2.37,4692335.538,7511377.348,619.891,FIXED,16,18,2.27,0.081,0.101,1,2024-11-07,09:33:04,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10826.473,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.891,,,,310°40'58.1287",0°02'34.9814"
Pt6,,42°22'12.4504",21°08'17.0334",619.552,0.000,0.000,0.000,42°22'12.4504",21°08'17.0334",619.552,2.37,4692289.179,7511371.114,619.552,FIXED,23,24,1.06,0.013,0.014,1,2024-11-07,09:37:18,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10852.041,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.552,,,,310°53'23.7134",0°02'41.0748"
Pt7,,42°22'12.5345",21°08'17.6078",619.868,0.000,0.000,0.000,42°22'12.5345",21°08'17.6078",619.868,2.37,4692291.796,7511384.250,619.868,FIXED,17,21,2.14,0.085,0.101,1,2024-11-07,09:41:19,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10860.265,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.868,,,,310°50'02.779",0°02'34.9398"
Pt8,,42°22'12.9506",21°08'17.4798",619.690,0.000,0.000,0.000,42°22'12.9506",21°08'17.4798",619.690,2.37,4692304.630,7511381.302,619.690,FIXED,19,21,1.32,0.055,0.063,1,2024-11-07,09:45:18,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10849.644,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.69,,,,310°47'34.8057",0°02'38.4812"
Pt9,,42°22'14.3319",21°08'18.4962",620.659,0.000,0.000,0.000,42°22'14.3319",21°08'18.4962",620.659,2.37,4692347.283,7511404.486,620.659,FLOAT,17,19,1.75,4.443,5.458,1,2024-11-07,09:50:09,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10839.432,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,620.659,,,,310°32'33.0192",0°02'18.9647"
Pt10,,42°22'13.9432",21°08'19.0753",619.285,0.000,0.000,0.000,42°22'13.9432",21°08'19.0753",619.285,2.37,4692335.313,7511417.752,619.285,FLOAT,20,22,1.26,0.133,0.188,1,2024-11-07,09:53:21,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10857.296,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.285,,,,310°32'40.8935",0°02'46.0636"
Pt11,,42°22'13.9472",21°08'20.7679",619.196,0.000,0.000,0.000,42°22'13.9472",21°08'20.7679",619.196,2.37,4692335.500,7511456.475,619.196,FLOAT,20,23,1.29,0.121,0.171,1,2024-11-07,09:59:57,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10886.635,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.196,,,,310°24'41.1965",0°02'47.3004"
Pt12,,42°22'13.0561",21°08'19.5130",619.229,0.000,0.000,0.000,42°22'13.0561",21°08'19.5130",619.229,2.37,4692307.958,7511427.811,619.229,FIXED,17,18,1.49,0.012,0.018,1,2024-11-07,10:11:36,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10882.736,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.229,,,,310°37'10.9956",0°02'46.7387"
Pt13,,42°22'12.2911",21°08'18.9495",619.417,0.000,0.000,0.000,42°22'12.2911",21°08'18.9495",619.417,2.37,4692284.337,7511414.958,619.417,FIXED,21,24,1.12,0.013,0.018,1,2024-11-07,10:12:48,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10888.391,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.417,,,,310°45'29.28",0°02'43.0793"
Pt14,,42°22'11.5018",21°08'19.6289",619.434,0.000,0.000,0.000,42°22'11.5018",21°08'19.6289",619.434,2.37,4692260.010,7511430.541,619.434,FIXED,22,24,1.06,0.011,0.014,1,2024-11-07,10:14:23,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10916.086,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.434,,,,310°48'05.2487",0°02'42.3595"
Pt15,,42°22'11.1465",21°08'18.9234",619.635,0.000,0.000,0.000,42°22'11.1465",21°08'18.9234",619.635,2.37,4692249.022,7511414.419,619.635,FIXED,22,26,1.1,0.011,0.016,1,2024-11-07,10:16:35,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10911.077,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.635,,,,310°54'01.7114",0°02'38.6173"
Pt16,,42°22'10.1012",21°08'19.2129",619.525,0.000,0.000,0.000,42°22'10.1012",21°08'19.2129",619.525,2.37,4692216.782,7511421.095,619.525,FIXED,24,27,0.96,0.012,0.013,1,2024-11-07,10:18:00,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10937.256,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.525,,,,311°00'18.9171",0°02'40.3215"
Pt17,,42°22'09.5156",21°08'18.2473",619.776,0.000,0.000,0.000,42°22'09.5156",21°08'18.2473",619.776,2.37,4692198.678,7511399.032,619.776,FIXED,21,23,1.12,0.011,0.013,1,2024-11-07,10:20:18,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10932.52,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.776,,,,311°09'09.9045",0°02'35.6497"
